PokerStars Tournament #2243779117, No Limit Hold'em
  376: renatomaiag (Brazil), still playing
  377: rephukulate (Canada), still playing
  378: rguimaraes95 (Canada), still playing
  379: rikinhd (Brazil), still playing
  380: robson.wasem (Brazil), still playing
  381: rodrigo4073 (Argentina), still playing
  382: rodrigovini (Brazil), still playing
  383: rodrigue1010 (Brazil), still playing
  384: sasanga91 (Greece), still playing
  385: say_donk_plz (Philippines), still playing
  386: scadan (Canada), still playing
  387: schlegel93 (Russia), still playing
  388: segaA4 (Belarus), still playing
  389: sellfish1 (Romania), still playing
  390: senia138 (Ukraine), still playing
  391: shinaalight (Germany), still playing
  392: shiner42 (Canada), still playing
  393: shooray (United Kingdom), still playing
  394: shteddy (Romania), still playing
  395: silentsigh1 (United Kingdom), still playing
  396: skipperX (Sweden), still playing
  397: skywalker.gl (Brazil), still playing
  398: sombrero21 (Brazil), still playing
  399: spitznspots (United Kingdom), still playing
  400: stefka25 (Germany), still playing
  401: subiremos. (Brazil), still playing
  402: sympsonvan (Brazil), still playing
  403: t0M_J0biM (Brazil), still playing
  404: te pupa tata (Romania), still playing
  405: teimas (Brazil), still playing
  406: terrana.mati (Argentina), still playing
  407: tgassen (Brazil), still playing
  408: the0stranger (Hungary), still playing
  409: timus9 (Russia), still playing
  410: tituxazzz (United Kingdom), still playing
  411: tony_89mo (Andorra), still playing
  412: tortrinigyal (Canada), still playing
  413: trexero (Brazil), still playing
  414: tsafoot (Latvia), still playing
  415: tscaranto (Brazil), still playing
  416: tuborg123456 (Belgium), still playing
  417: ukraina602 (Switzerland), still playing
  418: vanilaice88 (Serbia), still playing
  419: verkannt (Brazil), still playing
  420: vest78 (Jamaica), still playing
  421: viinig (Brazil), still playing
  422: viralatafeio (Brazil), still playing
  423: vitao140 (Brazil), still playing
  424: waman2305 (Moldova), still playing
  425: wantuirpoker (Brazil), still playing
  426: weh_chris (Germany), still playing
  427: wiars (Mexico), still playing
  428: xequelzf (Brazil), still playing
  429: y.m.cho (Germany), still playing
  430: yurism (Brazil), still playing
  431: zeeh_pb (Brazil), still playing
  432: zlatko22 (F.Y.R.O.M), still playing
  433: zugmoraes (Brazil), still playing
  434: |Chompiras|0 (Brazil), still playing
  435: ¿PqTãoSério? (Brazil), still playing
  436: évoIi (Switzerland), still playing
  437: ollikahn23 (Germany), 
  438: dsquirrels (Canada), 
  439: joaquimAA (Brazil), 
  440: Landrack (Argentina), 
  441: Hockinho (Germany), 
  442: MajinBoob (New Zealand), 
  443: VingadoresX (Brazil), 
  444: All_w_love (Denmark), 
  445: Pantufaz (Brazil), 
  446: The+EvClown (Brazil), 
  447: trugbild65 (Germany), 
  448: teocrates (Brazil), 
  449: RafaBrewer (Brazil), 
  450: RobboHH (Germany), 
  451: AmkarPerm (Russia), 
  452: binhoeiji (Brazil), 
  453: royalmaf67 (Brazil), 
  454: madchillin (Canada), 
  455: YujiMatsui17 (Brazil), 
  456: toddy.Jm (Brazil), 
  457: F. Kadilac (Brazil), 
  458: xSniper1980x (Belgium), 
  459: TucciTm (Brazil), 
  460: LuckyOrc (Czech Republic), 
  461: pabloosuna (Andorra), 
  462: lumo_Aut (Austria), 
  463: Formigah052 (Brazil), 
  464: santiga (Brazil), 
  465: Xeneize26 (Argentina), 
  466: Pitoco04 (Brazil), 
  467: Romulo1214 (Brazil), 
  468: houtjestan12 (Netherlands), 
  469: breakintime (Belarus), 
  470: Mr. JP 9 (Germany), 
  471: tibikeee10 (Hungary), 
  472: Vanbog12 (Croatia), 
  473: KevinGueAC21 (Peru), 
  474: tgf18tgf (Brazil), 
  475: cakiii85 (Serbia), 
  476: navarro0011 (Brazil), 
  477: Piquiii (Brazil), 
  478: sumsmart66 (Canada), 
  479: mau_cabral24 (Brazil), 
  480: spyque105 (Luxembourg), 
  481: InOurNature (Sweden), 
  482: joeybm106 (Canada), 
  483: victor2277 (Russia), 
  484: Gaelito23 (Brazil), 
  485: Sakelliou23 (Brazil), 
  486: drunken.sp (Brazil), 
  487: QQueenAAce (Russia), 
  488: Alexey3693 (Russia), 
  489: A_No.NoOne (South Africa), 
  490: nosf-ds (Ukraine), 
  491: A777BX (Russia), 
  492: jANJKE (Russia), 
  493: Brunopoker94 (Brazil), 
  494: MrBob_LFRO (Brazil), 
  495: rafinhaphx (Brazil), 
  496: MALMIS87 (Sweden), 
  497: odessit1982 (Ukraine), 
  498: FanT1One (Ukraine), 
  499: mayoush25 (Belgium), 
  500: Poi$on 1vey (United Kingdom), 
  501: SvenCalls (Malta), 
  502: Tiagsluiz (Brazil), 
  503: Two4Taeidy (United Kingdom), 
  504: 88oremos (Brazil), 
  505: Zulu Max (United Kingdom), 
  506: patrickmr19 (Brazil), 
  507: viperlz (Brazil), 
  508: CashMagnetic (Russia), 
  509: fishy316 (Canada), 
  510: MathewsFranc (Brazil), 
  511: GalgenHarry (Germany), 
  512: santiagomark (Serbia), 
  513: arsendark10 (Russia), 
  514: hailang888 (China), 
  515: GHCandian (Brazil), 
  516: BrutaL4!K (Moldova), 
  517: Frøys (Norway), 
  518: Bandalf (Slovakia), 
  519: ToninhoPva (Brazil), 
  520: poker171536 (Brazil), 
  521: ForzaMila355 (Russia), 
  522: jokydem (Slovakia), 
  523: VOIT51 (Russia), 
  524: citro0ns (Latvia), 
  525: brian 27979 (United Kingdom), 
  526: Billycray77 (United Kingdom), 
  527: Caduut (Brazil), 
  528: artur145 (Brazil), 
  529: spiderhami (China), 
  530: chaboom21 (Germany), 
  531: andruxam5 (Germany), 
  532: Arrmmen (Russia), 
  533: svenzutz (Germany), 
  534: IMSTR (Croatia), 
  535: Plan_Trap (Ukraine), 
  536: burunduggg (Belarus), 
  537: Kenshinznho (Brazil), 
  538: RobbertJanV (Netherlands), 
  539: mauricioj100 (Brazil), 
  540: omanlop (Faroe Islands), 
  541: Brisni (Brazil), 
  542: milan.ac2815 (Croatia), 
  543: kabreiro (Brazil), 
  544: robsonlr (Brazil), 
  545: rockycatcool (Canada), 
  546: SPORTIV777 (Romania), 
  547: bobben800 (Norway), 
  548: Neguinxx (Brazil), 
  549: rotaledo1 (Brazil), 
  550: Lexx124 (Canada), 
  551: zeberstars (Poland), 
  552: Mr S 212 (South Africa), 
  553: deliangliu (Canada), 
  554: Digo Mecalor (Brazil), 
  555: Panini626 (United Kingdom), 
  556: po10c1984 (United Kingdom), 
  557: Randell16 (Canada), 
  558: check-me83 (Germany), 
  559: pericakralj (Serbia), 
  560: TEXedout (Germany), 
  561: jansse36 (Belgium), 
  562: airator (Canada), 
  563: PokerGosu93 (Vietnam), 
  564: RuVAV (Russia), 
  565: BobJow93 (Brazil), 
  566: xvercobrax (Hungary), 
  567: Becca815 (Sweden), 
  568: johannes740 (Germany), 
  569: BüpBüp (Germany), 
  570: STTPoker1 (Russia), 
  571: Howlly (Brazil), 
  572: jtsuidawg (United Kingdom), 
  573: cws33 (Brazil), 
  574: JudiciousJo (United Kingdom), 
  575: THE HELL OUT (Canada), 
  576: ksinhe (Brazil), 
  577: PrettyVinnie (United Kingdom), 
  578: MaliJo1109 (Belgium), 
  579: wolfi01 (Austria), 
You finished the tournament (eliminated at hand #184042104668).


